G1 | 17 | Сгенерирован маркер | Маркер #2
Маркер #2 | 17 | Session = 13,1411485583521
T1 - Y | 17 | Маркер иниц. срабатывание перехода | Маркер #2
G1 | 18 | Маркер покинул генератор | Маркер #2
Q1 | 18 | В очередь добавлен маркер | Маркер #2
T1 - Y | 18 | Переход завершил работу | Маркер #2
T2 - J | 18 | Маркер иниц. срабатывание перехода | Маркер #2
P1 | 19 | Позиция маркирована | Маркер #2
Q1 | 19 | Маркер покинул очередь | Маркер #2
P2 | 19 | Маркер покинул позицию | Маркер #1
T2 - J | 19 | Переход завершил работу | Маркер #2
T3 - F | 19 | Маркер иниц. срабатывание перехода | Маркер #2
Маркер #2 | 28 | Session = 4,14114855835214
P1 | 28 | Маркер покинул позицию | Маркер #2
P2 | 28 | Позиция маркирована | Маркер #2
P3 | 28 | Позиция маркирована | Маркер #2
T3 - F | 28 | Переход завершил работу | Маркер #2
T4 - X | 28 | Маркер иниц. срабатывание перехода | Маркер #2
P3 | 29 | Маркер покинул позицию | Маркер #2
P5 | 29 | Позиция маркирована | Маркер #2
T4 - X | 29 | Переход завершил работу | Маркер #2
T1 - Y | 29 | Маркер иниц. срабатывание перехода | Маркер #2
P5 | 30 | Маркер покинул позицию | Маркер #2
Q1 | 30 | В очередь добавлен маркер | Маркер #2
T1 - Y | 30 | Переход завершил работу | Маркер #2
T2 - J | 30 | Маркер иниц. срабатывание перехода | Маркер #2
P1 | 31 | Позиция маркирована | Маркер #2
Q1 | 31 | Маркер покинул очередь | Маркер #2
P2 | 31 | Маркер покинул позицию | Маркер #2
T2 - J | 31 | Переход завершил работу | Маркер #2
T3 - F | 31 | Маркер иниц. срабатывание перехода | Маркер #2
G1 | 32 | Сгенерирован маркер | Маркер #3
Маркер #3 | 32 | Session = 8,23893764754757
T1 - Y | 32 | Маркер иниц. срабатывание перехода | Маркер #3
G1 | 33 | Маркер покинул генератор | Маркер #3
Q1 | 33 | В очередь добавлен маркер | Маркер #3
T1 - Y | 33 | Переход завершил работу | Маркер #3
Маркер #2 | 40 | Session = -4,85885144164786
P1 | 40 | Маркер покинул позицию | Маркер #2
P2 | 40 | Позиция маркирована | Маркер #2
P3 | 40 | Позиция маркирована | Маркер #2
T3 - F | 40 | Переход завершил работу | Маркер #2
T2 - J | 40 | Маркер иниц. срабатывание перехода | Маркер #3
T4 - X | 40 | Маркер иниц. срабатывание перехода | Маркер #2
P3 | 41 | Маркер покинул позицию | Маркер #2
P4 | 41 | Позиция маркирована | Маркер #2
T4 - X | 41 | Переход завершил работу | Маркер #2
P1 | 41 | Позиция маркирована | Маркер #3
Q1 | 41 | Маркер покинул очередь | Маркер #3
P2 | 41 | Маркер покинул позицию | Маркер #2
T2 - J | 41 | Переход завершил работу | Маркер #3
T3 - F | 41 | Маркер иниц. срабатывание перехода | Маркер #3
P4 | 41 | Маркер уничтожен из конечной позиции | Маркер #2
G1 | 47 | Сгенерирован маркер | Маркер #4
Маркер #4 | 47 | Session = 14,7621389222331
T1 - Y | 47 | Маркер иниц. срабатывание перехода | Маркер #4
G1 | 48 | Маркер покинул генератор | Маркер #4
Q1 | 48 | В очередь добавлен маркер | Маркер #4
T1 - Y | 48 | Переход завершил работу | Маркер #4
Маркер #3 | 50 | Session = -0,761062352452427
P1 | 50 | Маркер покинул позицию | Маркер #3
P2 | 50 | Позиция маркирована | Маркер #3
P3 | 50 | Позиция маркирована | Маркер #3
T3 - F | 50 | Переход завершил работу | Маркер #3
T2 - J | 50 | Маркер иниц. срабатывание перехода | Маркер #4
T4 - X | 50 | Маркер иниц. срабатывание перехода | Маркер #3
